epoch,train_loss,train_loss_grad,train_loss_lfst,mstar_10shot_finetune_seed0_accuracy,mstar_10shot_finetune_seed0_macro_f1,status
0,0.760213,0.686327,0.738861,66.70,62.90,stable
10,0.759736,0.685835,0.739012,66.80,63.20,stable
20,0.756764,0.683044,0.737204,67.50,63.90,best_observed
30,0.760457,0.686573,0.738844,65.90,62.40,stable
40,0.829616,0.750332,0.792847,26.10,20.60,collapsed
50,0.942771,0.850668,0.921038,24.50,18.70,collapsed
60,0.933910,0.842482,0.914280,25.70,21.20,collapsed
70,0.937811,0.845953,0.918585,26.90,22.30,collapsed
80,0.917025,0.826765,0.902603,37.50,31.00,collapsed
90,0.922446,0.831828,0.906180,26.50,18.90,collapsed
100,0.914066,0.824209,0.898567,35.50,28.70,collapsed
110,0.905702,0.816298,0.894048,38.00,34.10,collapsed
120,0.912304,0.822269,0.900354,37.00,35.70,collapsed
130,0.907878,0.818227,0.896508,42.00,38.80,collapsed
140,0.906938,0.817663,0.892751,35.30,28.80,collapsed
150,0.908858,0.819359,0.894995,33.40,26.30,collapsed
160,0.898807,0.809989,0.888184,40.70,37.10,collapsed
170,0.900729,0.811886,0.888430,42.30,37.10,collapsed
180,0.897084,0.808473,0.886106,37.40,34.90,collapsed
